age,type_bac,parcours,moyenne_bac,moyenne_s1,moyenne_s2,moyenne_generale_s1_s2,nb_modules_echoues,heures_travail_semaine,discipline_note_sur_5,satisfaction_parcours_note_sur_5,travail_parallele,reussite_generale,resultat_final
29,Informatique,Licence,15.43,14.53,12.87,13.7,0,9.4,4,3,Non,1,1
25,Informatique,Master,13.99,13.71,12.86,13.285,1,13.9,3,4,Oui,1,1
26,Sciences,Licence,15.11,16.0,14.5,15.25,1,4.1,5,5,Oui,1,1
22,Informatique,Cycle Ingénieur,12.27,11.74,9.63,10.685,1,4.7,2,3,Oui,1,0
30,Informatique,Cycle Ingénieur,16.88,15.99,16.0,15.995000000000001,1,7.9,4,5,Non,1,1
27,Mathématiques,Licence,16.6,16.0,16.0,16.0,0,6.8,5,3,Non,1,1
26,Informatique,Cycle Ingénieur,16.65,15.74,14.15,14.945,0,11.0,4,4,Non,1,1
21,Technique,Licence,15.08,15.28,16.0,15.64,2,10.3,4,3,Oui,1,1
20,Sciences,Master,13.54,14.82,13.81,14.315000000000001,1,8.4,4,4,Non,1,1
29,Informatique,Master,17.26,15.3,14.8,15.05,0,15.8,5,2,Oui,1,1
27,Mathématiques,Licence,12.81,9.0,9.0,9.0,4,2.3,2,2,Non,0,0
19,Informatique,Licence,13.84,14.17,16.0,15.085,0,10.9,4,3,Non,1,1
24,Mathématiques,Master,16.13,16.0,14.0,15.0,1,14.7,4,5,Non,1,1
20,Informatique,Master,12.16,10.92,10.4,10.66,1,9.0,2,2,Non,1,0
26,Mathématiques,Master,14.06,13.91,14.56,14.235,1,9.8,5,2,Oui,1,1
22,Informatique,Master,12.13,9.0,9.0,9.0,4,8.4,3,2,Non,0,0
20,Informatique,Licence,11.75,11.52,11.02,11.27,1,6.0,4,4,Non,1,1
23,Mathématiques,Master,11.02,9.68,9.22,9.45,2,5.0,3,5,Non,0,0
30,Mathématiques,Master,14.79,14.86,15.78,15.32,2,16.0,5,3,Non,1,1
27,Sciences,Master,15.53,15.98,15.56,15.77,2,11.3,5,3,Oui,1,1
19,Mathématiques,Licence,12.26,12.99,13.19,13.09,0,5.3,5,4,Oui,1,1
22,Informatique,Master,16.91,16.0,16.0,16.0,0,8.9,4,4,Oui,1,1
30,Informatique,Licence,14.37,13.99,15.51,14.75,1,16.5,3,3,Non,1,1
24,Technique,Master,13.23,14.81,16.0,15.405000000000001,1,12.1,5,5,Oui,1,1
21,Informatique,Licence,11.49,14.89,13.91,14.4,0,6.7,4,4,Non,1,1
19,Sciences,Licence,12.67,9.04,8.59,8.815,0,4.1,1,2,Non,0,0
27,Informatique,Licence,12.94,12.07,10.75,11.41,0,10.6,2,4,Non,1,0
20,Technique,Licence,12.17,11.98,12.23,12.105,1,11.1,2,3,Non,1,1
20,Sciences,Master,13.69,13.89,14.65,14.27,1,10.7,3,4,Oui,1,1
29,Informatique,Cycle Ingénieur,13.77,16.0,16.0,16.0,0,15.2,4,4,Non,1,1
26,Informatique,Cycle Ingénieur,16.24,15.54,16.0,15.77,1,10.3,3,3,Non,1,1
27,Mathématiques,Cycle Ingénieur,14.86,14.08,13.81,13.945,1,6.7,5,3,Oui,1,1
28,Sciences,Master,14.73,15.59,15.64,15.615,1,13.0,5,4,Non,1,1
26,Sciences,Licence,16.58,9.0,9.0,9.0,3,9.2,3,4,Non,0,0
27,Sciences,Licence,17.51,16.0,15.06,15.530000000000001,0,14.7,4,4,Oui,1,1
20,Sciences,Master,16.73,16.0,16.0,16.0,0,16.1,5,3,Non,1,1
19,Informatique,Cycle Ingénieur,14.92,14.0,12.68,13.34,0,8.5,4,4,Oui,1,1
30,Technique,Licence,15.43,14.58,14.84,14.71,0,12.1,5,3,Oui,1,1
24,Sciences,Cycle Ingénieur,15.96,14.42,14.36,14.39,0,7.8,5,5,Non,1,1
30,Technique,Licence,11.17,13.26,15.61,14.434999999999999,2,10.5,3,3,Oui,1,1
22,Technique,Master,13.98,11.64,11.37,11.504999999999999,2,4.6,4,4,Non,1,1
24,Mathématiques,Licence,11.92,10.57,7.8,9.185,0,4.6,3,4,Non,0,0
21,Informatique,Licence,11.22,8.84,9.0,8.92,3,9.5,2,3,Non,0,0
23,Informatique,Cycle Ingénieur,12.08,11.23,13.67,12.45,0,0.0,3,4,Oui,1,1
26,Mathématiques,Licence,17.45,16.0,16.0,16.0,1,8.3,5,4,Oui,1,1
24,Technique,Master,15.07,12.42,13.68,13.05,0,7.2,4,3,Oui,1,1
20,Sciences,Cycle Ingénieur,15.76,15.75,15.64,15.695,2,15.7,5,5,Oui,1,1
27,Informatique,Licence,12.69,13.46,16.0,14.73,2,10.9,5,4,Oui,1,1
30,Informatique,Licence,11.51,12.54,12.68,12.61,0,7.5,4,4,Non,1,1
20,Informatique,Licence,11.29,9.32,9.85,9.585,0,8.5,3,4,Non,0,0
27,Mathématiques,Master,11.36,9.0,9.0,9.0,3,11.1,3,4,Non,0,0
25,Mathématiques,Licence,15.63,14.33,16.0,15.165,2,15.7,4,3,Non,1,1
30,Technique,Master,16.12,9.0,9.0,9.0,3,3.4,2,3,Non,0,0
21,Informatique,Cycle Ingénieur,12.13,13.32,14.08,13.7,1,2.1,4,3,Non,1,1
24,Informatique,Cycle Ingénieur,11.21,9.0,7.82,8.41,3,10.6,3,2,Non,0,0
30,Technique,Master,16.37,14.52,16.0,15.26,1,12.4,4,4,Non,1,1
20,Informatique,Master,14.41,11.46,10.6,11.030000000000001,1,14.2,4,3,Non,1,1
26,Sciences,Licence,13.84,13.93,16.0,14.965,1,16.1,3,4,Non,1,1
24,Informatique,Cycle Ingénieur,14.45,14.77,14.21,14.49,1,1.2,4,3,Non,1,1
29,Sciences,Licence,13.19,13.17,14.74,13.955,0,9.2,5,5,Oui,1,1
22,Sciences,Licence,17.79,14.96,14.55,14.755,0,10.6,3,4,Non,1,1
19,Mathématiques,Licence,14.15,12.91,13.79,13.35,0,10.4,3,2,Non,1,1
29,Informatique,Licence,16.15,9.0,9.0,9.0,3,9.0,3,3,Non,0,0
22,Technique,Licence,12.89,9.0,9.0,9.0,3,4.7,3,3,Oui,0,0
23,Sciences,Master,11.72,13.79,14.95,14.37,1,18.4,4,4,Non,1,1
26,Informatique,Master,14.61,14.71,16.0,15.355,0,10.4,4,4,Non,1,1
25,Sciences,Licence,12.14,12.54,11.32,11.93,0,11.9,2,3,Non,1,0
20,Informatique,Master,12.71,12.5,12.78,12.64,2,10.1,4,3,Non,1,1
22,Sciences,Master,15.74,16.0,14.29,15.145,1,7.1,4,4,Non,1,1
27,Informatique,Licence,11.63,10.75,9.84,10.295,2,6.6,3,3,Oui,1,0
27,Sciences,Licence,13.22,12.24,13.66,12.95,0,4.5,5,5,Oui,1,1
23,Informatique,Licence,13.66,15.54,16.0,15.77,1,15.4,4,3,Oui,1,1
29,Technique,Licence,15.22,16.0,16.0,16.0,1,14.9,4,2,Non,1,1
23,Mathématiques,Licence,16.7,16.0,13.55,14.775,1,10.5,5,2,Non,1,1
20,Mathématiques,Cycle Ingénieur,16.01,16.0,16.0,16.0,1,11.5,5,3,Oui,1,1
24,Technique,Licence,12.36,11.14,11.73,11.435,1,4.4,4,4,Non,1,1
30,Mathématiques,Licence,14.77,15.65,13.29,14.469999999999999,2,7.2,3,3,Non,1,1
30,Sciences,Master,12.27,11.53,14.3,12.915,0,11.0,3,4,Non,1,1
22,Sciences,Licence,13.97,14.19,10.77,12.48,0,18.6,3,4,Oui,1,0
26,Technique,Master,13.88,15.12,13.25,14.184999999999999,2,6.9,4,3,Oui,1,1
30,Informatique,Master,15.7,16.0,16.0,16.0,0,6.4,4,4,Non,1,1
19,Informatique,Master,12.52,11.48,13.32,12.4,1,16.2,3,2,Oui,1,1
27,Mathématiques,Licence,14.48,12.77,15.23,14.0,1,14.5,5,4,Oui,1,1
28,Informatique,Cycle Ingénieur,17.34,16.0,14.88,15.440000000000001,1,13.9,3,5,Oui,1,1
19,Informatique,Master,12.59,11.21,10.91,11.06,1,9.4,2,3,Oui,1,0
24,Informatique,Master,12.62,13.37,11.33,12.35,0,7.9,2,2,Oui,1,0
21,Informatique,Master,16.11,14.55,14.47,14.510000000000002,1,6.3,5,3,Oui,1,1
27,Mathématiques,Licence,16.75,16.0,15.97,15.985,1,12.5,4,4,Non,1,1
23,Informatique,Licence,11.65,9.0,9.0,9.0,3,8.1,4,3,Non,0,0
20,Mathématiques,Cycle Ingénieur,13.67,12.56,10.73,11.645,1,5.5,3,4,Non,1,0
28,Mathématiques,Master,15.2,15.95,16.0,15.975,1,11.3,5,4,Non,1,1
24,Informatique,Licence,11.99,11.05,11.92,11.485,0,6.9,4,4,Non,1,1
20,Informatique,Licence,11.93,15.13,14.68,14.905000000000001,2,10.4,3,2,Non,1,1
23,Sciences,Cycle Ingénieur,11.85,10.89,12.32,11.605,0,0.0,4,3,Oui,1,1
22,Informatique,Master,14.08,14.0,12.81,13.405000000000001,0,15.5,5,4,Oui,1,1
20,Informatique,Cycle Ingénieur,14.39,16.0,16.0,16.0,0,16.5,4,3,Non,1,1
23,Informatique,Licence,11.85,10.43,9.98,10.205,2,8.1,2,2,Non,1,0
22,Informatique,Licence,15.59,16.0,16.0,16.0,2,13.9,5,3,Non,1,1
21,Technique,Licence,13.57,14.88,14.41,14.645,2,7.9,2,3,Non,1,1
25,Informatique,Licence,15.33,15.42,16.0,15.71,1,9.0,5,3,Non,1,1
19,Informatique,Licence,14.84,16.0,15.76,15.879999999999999,0,6.1,5,5,Non,1,1
26,Mathématiques,Licence,16.67,14.88,16.0,15.440000000000001,1,12.3,5,3,Non,1,1
27,Sciences,Licence,15.82,9.0,9.0,9.0,3,16.1,2,4,Non,0,0
26,Mathématiques,Licence,12.59,9.0,9.0,9.0,3,11.4,2,3,Non,0,0
26,Sciences,Master,11.59,10.54,10.82,10.68,0,5.2,4,3,Non,1,1
21,Sciences,Licence,15.63,13.14,12.46,12.8,0,7.5,4,4,Non,1,1
28,Mathématiques,Master,11.15,12.14,11.0,11.57,1,3.5,3,3,Non,1,1
27,Informatique,Cycle Ingénieur,15.51,9.0,9.0,9.0,4,7.7,2,4,Non,0,0
26,Technique,Master,11.8,12.55,12.51,12.530000000000001,1,5.0,4,3,Oui,1,1
26,Mathématiques,Cycle Ingénieur,14.02,9.0,9.0,9.0,3,3.1,2,3,Oui,0,0
21,Technique,Licence,17.21,14.7,16.0,15.35,2,10.3,5,4,Non,1,1
26,Sciences,Master,16.24,16.0,14.06,15.030000000000001,0,11.0,5,3,Oui,1,1
27,Informatique,Licence,17.56,16.0,15.02,15.51,2,10.6,3,4,Oui,1,1
29,Mathématiques,Licence,16.31,16.0,16.0,16.0,0,16.7,5,4,Oui,1,1
23,Technique,Master,12.12,11.24,11.21,11.225000000000001,0,7.8,2,3,Oui,1,0
28,Mathématiques,Licence,16.2,16.0,16.0,16.0,2,15.7,5,2,Non,1,1
22,Informatique,Cycle Ingénieur,11.04,9.0,9.0,9.0,4,1.7,1,2,Oui,0,0
26,Mathématiques,Licence,14.51,12.78,12.35,12.565,1,5.4,3,4,Oui,1,1
28,Mathématiques,Licence,13.74,15.76,14.63,15.195,0,4.2,5,3,Non,1,1
21,Sciences,Master,11.45,14.79,16.0,15.395,1,19.0,5,5,Non,1,1
20,Informatique,Licence,15.22,13.23,13.81,13.52,2,12.1,4,2,Non,1,1
25,Technique,Master,16.15,16.0,15.04,15.52,0,5.3,5,4,Non,1,1
27,Technique,Licence,17.53,15.49,16.0,15.745000000000001,1,9.6,5,5,Oui,1,1
29,Mathématiques,Master,16.18,15.22,15.75,15.485,0,11.1,5,5,Non,1,1
24,Informatique,Licence,12.91,9.0,9.0,9.0,3,5.6,1,3,Oui,0,0
28,Informatique,Licence,17.56,16.0,16.0,16.0,0,16.7,4,3,Oui,1,1
22,Technique,Licence,15.6,14.95,14.64,14.795,0,11.7,4,3,Non,1,1
24,Mathématiques,Master,14.0,12.12,11.4,11.76,0,11.6,4,5,Non,1,1
23,Informatique,Licence,14.73,9.0,9.0,9.0,3,7.8,3,2,Non,0,0
27,Technique,Licence,14.46,13.17,11.91,12.54,0,11.4,4,3,Non,1,1
30,Informatique,Licence,13.45,9.0,9.0,9.0,3,11.6,4,3,Non,0,0
24,Informatique,Master,14.84,9.0,9.0,9.0,3,9.7,1,3,Non,0,0
24,Mathématiques,Licence,16.95,15.78,16.0,15.89,1,13.5,5,4,Non,1,1
30,Mathématiques,Licence,13.49,9.0,8.7,8.85,3,7.2,4,4,Oui,0,0
22,Mathématiques,Licence,14.64,9.0,9.0,9.0,3,6.1,3,4,Non,0,0
28,Sciences,Licence,14.91,14.36,13.03,13.695,0,10.0,3,2,Non,1,1
21,Informatique,Licence,11.74,12.8,13.56,13.18,1,10.2,3,4,Non,1,1
22,Informatique,Master,12.94,11.44,13.01,12.225,0,4.0,4,4,Non,1,1
30,Informatique,Master,15.87,9.0,9.0,9.0,3,6.4,3,3,Non,0,0
23,Technique,Cycle Ingénieur,16.13,14.86,14.03,14.445,2,13.8,4,3,Non,1,1
25,Informatique,Licence,17.77,16.0,15.93,15.965,2,6.7,5,4,Oui,1,1
25,Sciences,Master,11.91,12.89,11.98,12.435,0,10.1,3,4,Non,1,1
23,Sciences,Licence,17.81,9.0,9.0,9.0,3,8.6,2,2,Non,0,0
26,Informatique,Master,14.46,15.58,14.83,15.205,0,14.4,5,4,Non,1,1
19,Technique,Licence,12.68,11.59,10.21,10.9,1,11.2,4,2,Oui,1,0
23,Sciences,Licence,16.64,16.0,15.28,15.64,0,13.3,4,4,Oui,1,1
21,Mathématiques,Master,15.8,9.0,9.0,9.0,3,11.0,1,3,Non,0,0
24,Technique,Master,13.52,9.0,9.0,9.0,3,5.4,3,3,Non,0,0
30,Informatique,Licence,15.65,15.76,15.4,15.58,2,6.8,5,2,Oui,1,1
22,Informatique,Licence,13.67,9.75,9.39,9.57,2,3.6,2,3,Non,0,0
26,Informatique,Licence,16.18,9.0,9.0,9.0,3,9.6,2,4,Non,0,0
22,Informatique,Licence,17.87,16.0,16.0,16.0,1,19.2,5,4,Oui,1,1
22,Sciences,Licence,11.79,11.84,14.6,13.219999999999999,0,2.8,4,2,Non,1,1
29,Informatique,Licence,16.11,9.0,9.0,9.0,3,8.1,2,4,Non,0,0
24,Sciences,Master,17.25,16.0,15.03,15.515,0,10.8,5,3,Non,1,1
27,Technique,Licence,17.37,9.0,9.0,9.0,3,9.5,3,5,Oui,0,0
26,Sciences,Master,13.22,14.93,14.4,14.665,1,9.7,5,5,Non,1,1
22,Technique,Master,16.52,16.0,16.0,16.0,0,15.4,5,3,Non,1,1
21,Technique,Licence,15.57,15.25,16.0,15.625,2,20.2,5,4,Oui,1,1
19,Sciences,Master,11.28,10.5,11.71,11.105,0,9.7,1,2,Non,1,0
19,Informatique,Licence,15.36,11.08,8.91,9.995000000000001,1,11.3,4,4,Non,0,0
19,Informatique,Licence,13.37,13.3,13.78,13.54,1,15.3,4,3,Non,1,1
27,Mathématiques,Master,16.72,16.0,15.14,15.57,1,11.4,5,4,Non,1,1
19,Mathématiques,Licence,13.73,12.34,13.21,12.775,2,11.0,4,3,Non,1,1
19,Technique,Licence,16.77,16.0,15.08,15.54,2,9.5,4,2,Non,1,1
21,Informatique,Licence,15.17,13.59,14.97,14.280000000000001,1,10.9,5,3,Oui,1,1
20,Informatique,Licence,15.68,13.54,15.66,14.6,1,11.7,5,4,Non,1,1
29,Technique,Licence,16.19,9.0,9.0,9.0,4,8.0,3,4,Non,0,0
30,Informatique,Licence,13.07,16.0,15.27,15.635,0,11.3,4,5,Non,1,1
27,Sciences,Master,11.47,9.67,11.24,10.455,1,7.3,3,3,Non,1,1
24,Informatique,Master,16.52,16.0,15.62,15.809999999999999,2,3.5,4,2,Oui,1,1
27,Informatique,Licence,11.19,12.45,13.32,12.885,1,0.1,4,3,Non,1,1
23,Technique,Master,17.23,15.28,14.63,14.955,0,15.6,5,3,Oui,1,1
29,Sciences,Cycle Ingénieur,13.18,12.37,13.82,13.094999999999999,1,16.4,5,3,Non,1,1
20,Technique,Licence,14.4,9.0,9.0,9.0,4,5.8,2,3,Non,0,0
28,Sciences,Cycle Ingénieur,13.77,12.71,11.45,12.08,1,7.0,3,3,Non,1,1
23,Technique,Licence,17.69,16.0,15.5,15.75,1,4.6,3,4,Oui,1,1
23,Informatique,Cycle Ingénieur,14.35,10.79,8.89,9.84,0,7.9,2,4,Oui,0,0
20,Informatique,Licence,12.82,9.0,9.0,9.0,4,0.0,3,2,Non,0,0
21,Informatique,Master,12.05,11.91,11.13,11.52,2,10.8,2,4,Non,1,0
24,Informatique,Master,14.99,12.65,13.4,13.025,1,9.6,3,2,Non,1,1
29,Technique,Licence,17.37,9.0,9.0,9.0,3,14.6,3,3,Non,0,0
30,Technique,Master,11.4,10.36,13.31,11.835,0,6.0,4,3,Non,1,1
25,Sciences,Cycle Ingénieur,13.63,15.59,14.23,14.91,2,7.5,4,2,Non,1,1
27,Informatique,Licence,13.54,13.84,14.3,14.07,1,18.6,3,4,Non,1,1
21,Mathématiques,Licence,12.4,9.0,9.0,9.0,3,6.7,3,1,Non,0,0
25,Sciences,Cycle Ingénieur,11.13,13.57,13.21,13.39,2,6.5,4,3,Non,1,1
20,Informatique,Master,13.33,10.76,11.08,10.92,2,15.4,4,2,Non,1,1
23,Sciences,Licence,11.04,10.81,11.03,10.92,2,7.6,2,2,Non,1,0
22,Informatique,Master,13.85,14.81,14.52,14.665,0,8.1,3,3,Oui,1,1
26,Mathématiques,Cycle Ingénieur,11.79,10.58,11.52,11.05,1,10.5,3,2,Non,1,1
20,Informatique,Master,12.97,13.42,14.66,14.04,0,9.6,3,3,Non,1,1
27,Mathématiques,Cycle Ingénieur,12.53,14.25,13.53,13.89,0,12.5,4,5,Non,1,1
24,Sciences,Cycle Ingénieur,11.5,10.72,9.06,9.89,2,10.7,3,4,Non,0,0
24,Mathématiques,Master,14.94,13.4,15.74,14.57,0,7.0,5,3,Oui,1,1
19,Sciences,Licence,14.58,9.0,9.0,9.0,3,8.1,2,4,Non,0,0
29,Technique,Master,16.79,9.0,9.0,9.0,3,10.9,2,3,Oui,0,0
24,Mathématiques,Master,13.64,14.1,14.0,14.05,1,17.9,5,4,Non,1,1
28,Mathématiques,Master,11.97,12.3,11.76,12.030000000000001,0,6.2,3,4,Oui,1,1
27,Technique,Licence,11.74,11.48,12.4,11.940000000000001,0,14.0,4,3,Oui,1,1
30,Mathématiques,Master,17.06,15.07,14.98,15.025,1,9.3,5,2,Non,1,1
20,Informatique,Licence,12.48,9.0,9.0,9.0,3,15.9,3,2,Non,0,0
20,Sciences,Cycle Ingénieur,13.76,13.47,12.96,13.215,1,6.2,4,4,Non,1,1
19,Sciences,Licence,11.78,9.0,8.19,8.594999999999999,3,7.6,2,2,Non,0,0
